DISTRICT	DT_CEN_CD	ST_CEN_CD	ST_NM	censuscode	sum
Kaushambi	43	9	Uttar Pradesh	174	1670.6156862745
Allahabad	44	9	Uttar Pradesh	175	7006.8392156863
Sant Ravi Das Nagar(bhadohi)	67	9	Uttar Pradesh	198	922.7725490196
Mirzapur	68	9	Uttar Pradesh	199	1158.3098039216
Singrauli	46	23	Madhya Pradesh	463	1423.337254902
Koriya	1	22	Chhattisgarh	400	215
Anuppur	44	23	Madhya Pradesh	461	72.6431372549
Kabeerdham	8	22	Chhattisgarh	407	0
Bilaspur	7	22	Chhattisgarh	406	2133
Korba	5	22	Chhattisgarh	404	3313
Surguja	2	22	Chhattisgarh	401	447.1450980392
Sonbhadra	69	9	Uttar Pradesh	200	2426.4156862745
Garhwa	1	20	Jharkhand	346	63.1843137255
Jashpur	3	22	Chhattisgarh	402	153
Raigarh	4	22	Chhattisgarh	403	1286
Gumla	21	20	Jharkhand	366	61
Simdega	22	20	Jharkhand	367	29.2666666667
Sundargarh	5	21	Odisha	374	4823.7333333333
Ranchi	19	20	Jharkhand	364	4084.6392156863
Lohardaga	11	20	Jharkhand	356	34
Latehar	14	20	Jharkhand	359	63
Chatra	2	20	Jharkhand	347	71.1490196078
Palamu	13	20	Jharkhand	358	346.6705882353
Rohtas	32	10	Bihar	234	994
Kaimur (bhabua)	31	10	Bihar	233	131
Aurangabad	33	10	Bihar	235	410
Gaya	34	10	Bihar	236	1753
Bhojpur	29	10	Bihar	231	391
Arwal	38	10	Bihar	240	28
Jehanabad	37	10	Bihar	239	150.5019607843
Patna	28	10	Bihar	230	9488.6156862745
Buxar	30	10	Bihar	232	172.5725490196
Ghazipur	64	9	Uttar Pradesh	195	817.8117647059
Chandauli	65	9	Uttar Pradesh	196	1527.0352941177
Varanasi	66	9	Uttar Pradesh	197	9042.0392156863
Jaunpur	63	9	Uttar Pradesh	194	1442.1215686275
Pratapgarh	42	9	Uttar Pradesh	173	498
Azamgarh	60	9	Uttar Pradesh	191	1136.3098039216
Ambedkar Nagar	47	9	Uttar Pradesh	178	579.6470588235
Sultanpur	48	9	Uttar Pradesh	179	820.2549019608
